id,InstitutionName,Country,Year,total
1,Central Library of the EC,Belgium,2015,26310
2,Central Library of the EC,Belgium,2016,25289
3,IMF WORLDBANK,United States,2016,19120
4,IMF WORLDBANK,United States,2015,19116
5,Moscow State University - Higher School of Economics,Russian Federation,2015,13788
6,London School of Economics and Political Science,United Kingdom,2015,12496
7,Dutch Government - Rijksweb,Netherlands,2015,12045
8,Tokyo University Sogo Toshokan,Japan,2015,11753
9,Dutch Government - Rijksweb,Netherlands,2016,11513
10,UNIVERSITY OF HELSINKI /Helsinki University Library,Finland,2015,11478
11,Moscow State University - Higher School of Economics,Russian Federation,2016,11223
12,London School of Economics and Political Science,United Kingdom,2016,10939
13,Special Press and Journalist Access,France,2015,10357
14,University of Economics Prague,Czech Republic,2015,10335
15,UCL LIBRARY,United Kingdom,2016,9482
16,Central Library of the EC,Belgium,2014,8883
17,UCL LIBRARY,United Kingdom,2015,8865
18,US Army War College Library,United States,2015,8807
19,UNIVERSITEIT VAN AMSTERDAM,Netherlands,2016,8562
20,University of Economics Prague,Czech Republic,2016,8070
21,UNIVERSITEIT VAN AMSTERDAM,Netherlands,2015,7989
22,Seoul National University,Korea - Republic of,2015,7976
23,Special Press and Journalist Access,France,2016,7908
24,Wirtschaftsuniversit<U+00E4>t Wien,Austria,2015,7750
25,UNIVERSITY OF WASHINGTON,United States,2014,7724
26,Renmin University of China,China - People<U+2019>s Republic,2016,7688
27,University of Toronto Libraries,Canada,2015,7598
28,Chinese Academy of Science - National Science Library,China - People<U+2019>s Republic,2015,7553
29,Erasmus University Library,Netherlands,2015,7488
30,Sciences Po,France,2015,7483
31,Cambridge University Library,United Kingdom,2015,7398
32,The University of Manchester Library,United Kingdom,2015,7392
33,Karlsruher Institut f<U+00FC>r Technologie,Germany,2016,7230
34,Ministere de l'economie - Ministere du budget,France,2015,7208
35,University of Sydney,Australia,2015,7095
36,KU Leuven University Library,Belgium,2015,7086
37,The University of Manchester Library,United Kingdom,2016,7062
38,Sciences Po,France,2016,6762
39,Monash University Library,Australia,2016,6661
40,Seoul National University,Korea - Republic of,2016,6652
41,Renmin University of China,China - People<U+2019>s Republic,2015,6589
42,The Bank of Korea,Korea - Republic of,2015,6586
43,UNIVERSITY OF WARWICK,United Kingdom,2015,6533
44,Erasmus University Library,Netherlands,2016,6355
45,University of Toronto Libraries,Canada,2016,6328
46,DGRS-DT Direction G<U+00E9>n<U+00E9>rale,Algeria,2015,6248
47,Chinese Academy of Science - National Science Library,China - People<U+2019>s Republic,2016,6191
48,KU Leuven University Library,Belgium,2016,6140
49,University of Sydney,Australia,2016,6065
50,UNIVERSITE DU QUEBEC A MONTREAL,Canada,2016,6050
51,University of Glasgow Library,United Kingdom,2015,6029
52,Ministere de l'economie - Ministere du budget,France,2016,5965
53,UN Consortium - UNOG,United States,2015,5884
54,University of Oxford,United Kingdom,2015,5791
55,Aarhus University Libraries,Denmark,2016,5779
56,MAASTRICHT UNIVERSITY LIBRARY,Netherlands,2015,5748
57,COPENHAGEN BUSINESS SCHOOL,Denmark,2015,5673
58,Wirtschaftsuniversit<U+00E4>t Wien,Austria,2016,5657
59,PARLEMENT EUROPEEN,Belgium,2015,5593
60,UNAM,Mexico,2015,5591
61,Aarhus University Libraries,Denmark,2015,5496
62,CGSP,France,2015,5433
63,UNIVERSITY OF QUEENSLAND LIBRARY,Australia,2015,5406
64,MAASTRICHT UNIVERSITY LIBRARY,Netherlands,2016,5385
65,Universita' L.Bocconi Biblioteca,Italy,2015,5365
66,COPENHAGEN BUSINESS SCHOOL,Denmark,2016,5321
67,University of New South Wales,Australia,2015,5280
68,Korea Development Institute - Library,Korea - Republic of,2016,5270
69,Ontario Ministries,Canada,2015,5270
70,Australian National University,Australia,2015,5259
71,Cambridge University Library,United Kingdom,2016,5182
72,IMF WORLDBANK,United States,2014,5107
73,UNIVERSITY OF YORK,United Kingdom,2015,5084
74,COLUMBIA UNIVERSITY,United States,2015,5082
75,Hong Kong Public Libraries,Hong Kong - China,2015,5060
76,UNIVERSITY OF LEEDS,United Kingdom,2015,5056
77,University of New South Wales,Australia,2016,5041
78,DGRS-DT Direction G<U+00E9>n<U+00E9>rale,Algeria,2016,5031
79,Australian National University,Australia,2016,4960
80,Monash University Library,Australia,2015,4958
81,PARLEMENT EUROPEEN,Belgium,2016,4900
82,Pennsylvania State University,United States,2015,4893
83,Universita' L.Bocconi Biblioteca,Italy,2016,4868
84,UNIVERSITY OF QUEENSLAND LIBRARY,Australia,2016,4846
85,Harvard University Libraries,United States,2015,4841
86,The University of Melbourne Libraries,Australia,2015,4840
87,Knesset,Israel,2016,4823
88,Fachhochschulen Schweiz,Switzerland,2015,4818
89,University of British Columbia Library,Canada,2015,4815
90,University of Oxford,United Kingdom,2016,4808
91,Gie Ernst & Young,France,2015,4797
92,INTER-AMERICAN DEVELOPMENT BANK (IDB),United States,2015,4795
93,University of Hong Kong Libraries,Hong Kong - China,2015,4776
94,Eskisehir Osmangazi Universitesi,Turkey,2016,4759
95,DET KONGELIGE BIBLIOTEK,Denmark,2015,4718
96,Harvard University Libraries,United States,2016,4718
97,UNIVERSITY OF AUCKLAND LIBRARY,New Zealand,2015,4690
98,UNIVERSITY OF STRATHCLYDE,United Kingdom,2016,4687
99,Government of the Republic of Latvia,Latvia,2016,4678
100,Gie Ernst & Young,France,2016,4604
101,KOREA UNIVERSITY Central Library,Korea - Republic of,2015,4598
102,UNIVERSITE DU QUEBEC A MONTREAL,Canada,2015,4583
103,Regeringskansliet,Sweden,2015,4514
104,UNAM,Mexico,2016,4482
105,RMIT UNIVERSITY,Australia,2015,4470
106,Ritsumeikan University,Japan,2015,4458
107,Universite de Montreal,Canada,2015,4453
108,Ontario Ministries,Canada,2016,4410
109,KEIO UNIVERSITY,Japan,2015,4403
110,PWC London,United Kingdom,2015,4368
111,PWC London,United Kingdom,2016,4368
112,University of Glasgow Library,United Kingdom,2016,4334
113,University College Dublin,Ireland,2016,4319
114,University of Plymouth,United Kingdom,2016,4312
115,University of Economics Prague,Czech Republic,2014,4293
116,NATIONAL UNIVERSITY OF SINGAPORE,Singapore,2015,4278
117,DET KONGELIGE BIBLIOTEK,Denmark,2016,4273
118,NATIONAL UNIVERSITY OF SINGAPORE,Singapore,2016,4268
119,RMIT UNIVERSITY,Australia,2016,4170
120,UNIVERSITY OF YORK,United Kingdom,2016,4166
121,University of British Columbia Library,Canada,2016,4153
122,University of Groningen,Netherlands,2016,4151
123,Universiteit Leiden,Netherlands,2016,4134
124,University of International Business and Economics (UIBE),China - People<U+2019>s Republic,2015,4127
125,Universitaet Leipzig,Germany,2016,4095
126,Vienna University Library,Austria,2015,4091
127,Universite de Montreal,Canada,2016,4039
128,COLUMBIA UNIVERSITY,United States,2016,4038
129,Yonsei University Library,Korea - Republic of,2015,4035
130,Fachhochschulen Schweiz,Switzerland,2016,3981
131,The University of Melbourne Libraries,Australia,2016,3977
132,UNIVERSITE LAVAL,Canada,2015,3964
133,UNIVERSITY OF LEEDS,United Kingdom,2016,3910
134,Knesset,Israel,2015,3909
135,US Department of State,United States,2015,3904
136,QUEENSLAND UNIVERSITY TECHNOLOGY,Australia,2015,3890
137,UNIVERSITY OF ALBERTA,Canada,2015,3887
138,Vrije Universiteit,Netherlands,2015,3886
139,Universitaetsbibliothek Johann Christian Senckenberg,Germany,2016,3872
140,UNIVERSITY OF OTTAWA,Canada,2015,3830
141,Freie Universit<U+00E4>t Berlin - Universit<U+00E4>tsbibliothek,Germany,2015,3829
142,Uppsala University Library,Sweden,2015,3795
143,Universitaetsbibliothek Johann Christian Senckenberg,Germany,2015,3746
144,INTER-AMERICAN DEVELOPMENT BANK (IDB),United States,2016,3715
145,African Studies Center Leiden,Netherlands,2015,3698
146,Vienna University Library,Austria,2016,3695
147,UNIVERSITY OF STRATHCLYDE,United Kingdom,2015,3670
148,Lund University libraries,Sweden,2015,3666
149,SERVICE CANADA / HRSDC / RHDSC,Canada,2015,3661
150,UNIVERSITY OF CALIFORNIA BERKELEY,United States,2015,3648
151,UN - International Labour Organization ILO,Switzerland,2015,3637
152,QUEENSLAND UNIVERSITY TECHNOLOGY,Australia,2016,3636
153,SERVICE CANADA / HRSDC / RHDSC,Canada,2016,3632
154,The Library | University of Bath,United Kingdom,2016,3625
155,UNIVERSITY OF COLOGNE,Germany,2015,3621
156,UNIVERSITY OF COLOGNE,Germany,2016,3617
157,University of Groningen,Netherlands,2015,3616
158,Universiteit Utrecht,Netherlands,2015,3615
159,HEC MONTREAL,Canada,2015,3590
160,New York University,United States,2016,3584
161,Johns Hopkins University,United States,2016,3581
162,Dept of Finance & Treasury Board,Canada,2015,3569
163,Stockholm University Library,Sweden,2015,3569
164,UNIVERSITY OF AUCKLAND LIBRARY,New Zealand,2016,3494
165,New York University,United States,2015,3493
166,Universit<U+00E9> Paris 1 Panth<U+00E9>on-Sorbonne,France,2015,3489
167,UN Consortium - UNHQ Library,United States,2015,3482
168,University of Plymouth,United Kingdom,2015,3473
169,Vrije Universiteit,Netherlands,2016,3458
170,Waseda University,Japan,2015,3454
171,Chinese Academy of Social Sciences Library,China - People<U+2019>s Republic,2015,3452
172,Freie Universit<U+00E4>t Berlin - Universit<U+00E4>tsbibliothek,Germany,2016,3447
173,UZH Hauptbibliothek / Zentralbibliothek Z<U+00FC>rich,Switzerland,2015,3436
174,Lund University libraries,Sweden,2016,3424
175,National Taiwan University,Chinese Taipei,2015,3404
176,ProQuest,United States,2016,3402
177,University of Newcastle,United Kingdom,2016,3398
178,Korea Development Institute - Library,Korea - Republic of,2015,3391
179,Bundesministerium f<U+00FC>r Umwelt Naturschutz und Reaktorsicherheit,Germany,2015,3388
180,UTSA Libraries,United States,2015,3387
181,CGSP,France,2016,3367
182,Carleton University Library,Canada,2016,3364
183,Republic of Turkey Prime Ministry State Planning Org,Turkey,2015,3361
